created_time,sentiment_score,sentiment_category,textblob_polarity,vader_compound,financial_positive,financial_negative
2010-11-16,0.09797635497011431,neutral,0.08136817877889302,0.2519375,0.07805805210955437,0.08813479542732235
2010-11-17,,neutral,,,,
2010-11-18,0.022629106340789948,neutral,0.11756907308377895,-0.059075,0.0497133629396557,0.024308940861374098
2010-11-19,,neutral,,,,
2010-11-20,,neutral,,,,
2010-11-21,,neutral,,,,
2010-11-22,,neutral,,,,
2010-11-23,,neutral,,,,
2010-11-24,,neutral,,,,
2010-11-25,,neutral,,,,
2010-11-26,,neutral,,,,
2010-11-27,,neutral,,,,
2010-11-28,,neutral,,,,
2010-11-29,,neutral,,,,
2010-11-30,0.13108977295227345,neutral,0.2302083333333333,0.1366,0.11697439849376676,0.0117380337323993
2010-12-01,0.05727514606952665,neutral,0.0020833333333333,0.2123,0.0352487955242395,0.0704480651766061
2010-12-02,-0.2553015976093167,neutral,-0.2356060606060606,-0.468675,0.0357586317695677,0.2558450289070606
2010-12-03,,neutral,,,,
2010-12-04,,neutral,,,,
2010-12-05,,neutral,,,,
2010-12-06,,neutral,,,,
2010-12-07,,neutral,,,,
2010-12-08,,neutral,,,,
2010-12-09,,neutral,,,,
2010-12-10,,neutral,,,,
2010-12-11,,neutral,,,,
2010-12-12,,neutral,,,,
2010-12-13,,neutral,,,,
2010-12-14,,neutral,,,,
2010-12-15,,neutral,,,,
2010-12-16,,neutral,,,,
2010-12-17,,neutral,,,,
2010-12-18,,neutral,,,,
2010-12-19,,neutral,,,,
2010-12-20,,neutral,,,,
2010-12-21,,neutral,,,,
2010-12-22,,neutral,,,,
2010-12-23,,neutral,,,,
2010-12-24,,neutral,,,,
2010-12-25,,neutral,,,,
2010-12-26,,neutral,,,,
2010-12-27,,neutral,,,,
2010-12-28,,neutral,,,,
2010-12-29,,neutral,,,,
2010-12-30,,neutral,,,,
2010-12-31,,neutral,,,,
2011-01-01,,neutral,,,,
2011-01-02,,neutral,,,,
2011-01-03,,neutral,,,,
2011-01-04,,neutral,,,,
2011-01-05,,neutral,,,,
2011-01-06,,neutral,,,,
2011-01-07,,neutral,,,,
2011-01-08,,neutral,,,,
2011-01-09,,neutral,,,,
2011-01-10,,neutral,,,,
2011-01-11,,neutral,,,,
2011-01-12,,neutral,,,,
2011-01-13,,neutral,,,,
2011-01-14,,neutral,,,,
2011-01-15,,neutral,,,,
2011-01-16,,neutral,,,,
2011-01-17,,neutral,,,,
2011-01-18,,neutral,,,,
2011-01-19,,neutral,,,,
2011-01-20,,neutral,,,,
2011-01-21,,neutral,,,,
2011-01-22,,neutral,,,,
2011-01-23,,neutral,,,,
2011-01-24,,neutral,,,,
2011-01-25,,neutral,,,,
2011-01-26,,neutral,,,,
2011-01-27,,neutral,,,,
2011-01-28,,neutral,,,,
2011-01-29,,neutral,,,,
